Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
2020/8/18 4:00:00,214.999,-31.558,44229.78005
2020/8/18 4:01:00,215.192,-31.702,44408.98952
2020/8/18 4:02:00,215.384,-31.847,44587.50121
2020/8/18 4:03:00,215.577,-31.991,44765.30982
2020/8/18 4:04:00,215.77,-32.134,44942.41012
2020/8/18 4:05:00,215.963,-32.277,45118.79692
2020/8/18 4:06:00,216.156,-32.42,45294.46508
2020/8/18 4:07:00,216.349,-32.562,45469.40952
2020/8/18 4:08:00,216.542,-32.704,45643.62518
2020/8/18 4:09:00,216.735,-32.846,45817.10707
2020/8/18 4:10:00,216.929,-32.987,45989.85023
2020/8/18 4:11:00,217.122,-33.128,46161.84976
2020/8/18 4:12:00,217.315,-33.269,46333.1008
2020/8/18 4:13:00,217.509,-33.409,46503.59853
2020/8/18 4:14:00,217.703,-33.548,46673.33816
2020/8/18 4:15:00,217.897,-33.688,46842.31498
2020/8/18 4:16:00,218.091,-33.827,47010.52428
2020/8/18 4:17:00,218.286,-33.965,47177.96142
2020/8/18 4:18:00,218.48,-34.103,47344.62179
2020/8/18 4:19:00,218.675,-34.241,47510.50083
2020/8/18 4:20:00,218.87,-34.378,47675.59401
2020/8/18 4:21:00,219.065,-34.514,47839.89683
2020/8/18 4:22:00,219.261,-34.651,48003.40486
2020/8/18 4:23:00,219.457,-34.787,48166.11369
2020/8/18 4:24:00,219.653,-34.922,48328.01893
2020/8/18 4:25:00,219.849,-35.057,48489.11627
2020/8/18 4:26:00,220.046,-35.191,48649.40141
2020/8/18 4:27:00,220.243,-35.325,48808.87008
2020/8/18 4:28:00,220.441,-35.459,48967.51808
2020/8/18 4:29:00,220.638,-35.592,49125.34121
2020/8/18 4:30:00,220.837,-35.724,49282.33532
2020/8/18 4:31:00,221.035,-35.857,49438.49632
2020/8/18 4:32:00,221.234,-35.988,49593.82011
2020/8/18 4:33:00,221.433,-36.119,49748.30266
2020/8/18 4:34:00,221.633,-36.25,49901.93996
2020/8/18 4:35:00,221.833,-36.38,50054.72803
2020/8/18 4:36:00,222.033,-36.509,50206.66295
2020/8/18 4:37:00,222.234,-36.638,50357.7408
2020/8/18 4:38:00,222.435,-36.767,50507.95769
2020/8/18 4:39:00,222.637,-36.895,50657.30983
2020/8/18 4:40:00,222.839,-37.022,50805.79341
2020/8/18 4:41:00,223.042,-37.149,50953.40464
2020/8/18 4:42:00,223.245,-37.276,51100.13979
2020/8/18 4:43:00,223.449,-37.401,51245.99514
2020/8/18 4:44:00,223.653,-37.527,51390.96704
2020/8/18 4:45:00,223.857,-37.651,51535.05183
2020/8/18 4:46:00,224.062,-37.775,51678.2459
2020/8/18 4:47:00,224.268,-37.899,51820.54568
2020/8/18 4:48:00,224.474,-38.022,51961.94763
2020/8/18 4:49:00,224.681,-38.144,52102.44821
2020/8/18 4:50:00,224.888,-38.266,52242.04396
2020/8/18 4:51:00,225.095,-38.387,52380.73141
2020/8/18 4:52:00,225.304,-38.508,52518.50714
2020/8/18 4:53:00,225.512,-38.628,52655.36776
2020/8/18 4:54:00,225.722,-38.748,52791.30989
2020/8/18 4:55:00,225.931,-38.866,52926.33023
2020/8/18 4:56:00,226.142,-38.985,53060.42544
2020/8/18 4:57:00,226.353,-39.102,53193.59228
2020/8/18 4:58:00,226.565,-39.219,53325.82747
2020/8/18 4:59:00,226.777,-39.335,53457.12783
2020/8/18 5:00:00,226.989,-39.451,53587.49015
2020/8/18 5:01:00,227.203,-39.566,53716.91129
2020/8/18 5:02:00,227.417,-39.68,53845.38811
2020/8/18 5:03:00,227.631,-39.794,53972.91752
2020/8/18 5:04:00,227.847,-39.907,54099.49644
2020/8/18 5:05:00,228.062,-40.019,54225.12184
2020/8/18 5:06:00,228.279,-40.131,54349.7907
2020/8/18 5:07:00,228.496,-40.242,54473.50004
2020/8/18 5:08:00,228.713,-40.352,54596.2469
2020/8/18 5:09:00,228.932,-40.462,54718.02836
2020/8/18 5:10:00,229.151,-40.571,54838.84151
2020/8/18 5:11:00,229.37,-40.679,54958.68346
2020/8/18 5:12:00,229.59,-40.787,55077.55141
2020/8/18 5:13:00,229.811,-40.894,55195.44252
2020/8/18 5:14:00,230.033,-41,55312.35401
2020/8/18 5:15:00,230.255,-41.105,55428.28311
2020/8/18 5:16:00,230.478,-41.21,55543.22709
2020/8/18 5:17:00,230.701,-41.314,55657.18324
2020/8/18 5:18:00,230.925,-41.417,55770.14888
2020/8/18 5:19:00,231.15,-41.519,55882.12135
2020/8/18 5:20:00,231.376,-41.621,55993.09805
2020/8/18 5:21:00,231.602,-41.722,56103.07637
2020/8/18 5:22:00,231.828,-41.822,56212.05373
2020/8/18 5:23:00,232.056,-41.921,56320.0276
2020/8/18 5:24:00,232.284,-42.02,56426.99546
2020/8/18 5:25:00,232.513,-42.118,56532.95481
2020/8/18 5:26:00,232.742,-42.215,56637.90319
2020/8/18 5:27:00,232.972,-42.311,56741.83818
2020/8/18 5:28:00,233.203,-42.407,56844.75735
2020/8/18 5:29:00,233.435,-42.501,56946.65833
2020/8/18 5:30:00,233.667,-42.595,57047.53875
2020/8/18 5:31:00,233.899,-42.688,57147.39628
2020/8/18 5:32:00,234.133,-42.78,57246.22863
2020/8/18 5:33:00,234.367,-42.872,57344.03351
2020/8/18 5:34:00,234.602,-42.962,57440.80867
2020/8/18 5:35:00,234.837,-43.052,57536.5519
2020/8/18 5:36:00,235.073,-43.141,57631.26097
2020/8/18 5:37:00,235.31,-43.229,57724.93374
2020/8/18 5:38:00,235.547,-43.316,57817.56804
2020/8/18 5:39:00,235.785,-43.403,57909.16175
2020/8/18 5:40:00,236.024,-43.488,57999.71278
2020/8/18 5:41:00,236.264,-43.573,58089.21907
2020/8/18 5:42:00,236.504,-43.656,58177.67856
2020/8/18 5:43:00,236.744,-43.739,58265.08925
2020/8/18 5:44:00,236.986,-43.821,58351.44915
2020/8/18 5:45:00,237.227,-43.902,58436.75627
2020/8/18 5:46:00,237.47,-43.983,58521.00869
2020/8/18 5:47:00,237.713,-44.062,58604.2045
2020/8/18 5:48:00,237.957,-44.14,58686.34179
2020/8/18 5:49:00,238.202,-44.218,58767.41872
2020/8/18 5:50:00,238.447,-44.294,58847.43344
2020/8/18 5:51:00,238.692,-44.37,58926.38415
2020/8/18 5:52:00,238.939,-44.445,59004.26904
2020/8/18 5:53:00,239.185,-44.519,59081.08638
2020/8/18 5:54:00,239.433,-44.591,59156.83442
2020/8/18 5:55:00,239.681,-44.663,59231.51145
2020/8/18 5:56:00,239.93,-44.734,59305.11579
2020/8/18 5:57:00,240.179,-44.804,59377.64579
2020/8/18 5:58:00,240.429,-44.874,59449.0998
2020/8/18 5:59:00,240.679,-44.942,59519.47622
2020/8/18 6:00:00,240.93,-45.009,59588.77348
2020/8/18 6:01:00,241.182,-45.075,59656.99001
2020/8/18 6:02:00,241.434,-45.14,59724.12428
2020/8/18 6:03:00,241.686,-45.205,59790.17479
2020/8/18 6:04:00,241.939,-45.268,59855.14006
2020/8/18 6:05:00,242.193,-45.33,59919.01863
2020/8/18 6:06:00,242.447,-45.391,59981.80907
2020/8/18 6:07:00,242.702,-45.452,60043.50998
2020/8/18 6:08:00,242.957,-45.511,60104.11999
2020/8/18 6:09:00,243.213,-45.569,60163.63772
2020/8/18 6:10:00,243.469,-45.627,60222.06187
