Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
2020/8/18 4:41:02,286.597,57.583,36064.65946
2020/8/18 4:42:02,278.926,58.562,36009.73388
2020/8/18 4:43:02,270.907,58.914,35990.04233
2020/8/18 4:44:02,262.874,58.617,36005.71273
2020/8/18 4:45:02,255.17,57.689,36056.60007
2020/8/18 4:46:02,248.061,56.188,36142.28905
2020/8/18 4:47:02,241.7,54.193,36262.10132
2020/8/18 4:48:02,236.135,51.789,36415.10717
2020/8/18 4:49:02,231.337,49.058,36600.14109
2020/8/18 4:50:02,227.235,46.072,36815.82064
2020/8/18 4:51:02,223.743,42.891,37060.56784
2020/8/18 4:52:02,220.776,39.564,37332.63258
2020/8/18 4:53:02,218.255,36.128,37630.11675
2020/8/18 4:54:02,216.114,32.616,37950.99921
2020/8/18 4:55:02,214.295,29.05,38293.16001
2020/8/18 4:56:02,212.753,25.45,38654.40425
2020/8/18 4:57:02,211.449,21.832,39032.48425
2020/8/18 4:58:02,210.352,18.207,39425.12053
2020/8/18 4:59:02,209.438,14.585,39830.02079
2020/8/18 5:00:02,208.685,10.973,40244.89686
2020/8/18 5:01:02,208.08,7.378,40667.48002
2020/8/18 5:02:02,207.608,3.804,41095.53413
2020/8/18 5:03:02,207.262,0.256,41526.86693
2020/8/18 5:04:02,207.033,-3.263,41959.3397
2020/8/18 5:05:02,206.917,-6.751,42390.8753
2020/8/18 5:06:02,206.913,-10.205,42819.46469
2020/8/18 5:07:02,207.019,-13.624,43243.17233
2020/8/18 5:08:02,207.238,-17.006,43660.14034
2020/8/18 5:09:02,207.573,-20.348,44068.59176
2020/8/18 5:10:02,208.03,-23.649,44466.83303
2020/8/18 5:10:21,208.202,-24.686,44590.68877
2020/8/18 5:46:35,331.275,-24.602,44567.69548
2020/8/18 5:47:35,331.747,-21.343,44176.03242
2020/8/18 5:48:35,332.096,-18.021,43771.05129
2020/8/18 5:49:35,332.327,-14.66,43357.23299
2020/8/18 5:50:35,332.442,-11.262,42936.33756
2020/8/18 5:51:35,332.444,-7.83,42510.20578
2020/8/18 5:52:35,332.333,-4.365,42080.75586
2020/8/18 5:53:35,332.107,-0.871,41649.97925
2020/8/18 5:54:35,331.761,2.651,41219.93549
2020/8/18 5:55:35,331.29,6.196,40792.74564
2020/8/18 5:56:35,330.685,9.76,40370.58445
2020/8/18 5:57:35,329.933,13.339,39955.67097
2020/8/18 5:58:35,329.019,16.927,39550.25738
2020/8/18 5:59:35,327.926,20.515,39156.61618
2020/8/18 6:00:35,326.629,24.094,38777.02529
