Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
2020/8/18 4:00:00,273.502,-16.115,22895.24754
2020/8/18 4:01:00,273.066,-15.986,22707.1087
2020/8/18 4:02:00,272.62,-15.857,22520.30748
2020/8/18 4:03:00,272.165,-15.73,22334.89192
2020/8/18 4:04:00,271.701,-15.604,22150.91118
2020/8/18 4:05:00,271.227,-15.479,21968.4156
2020/8/18 4:06:00,270.744,-15.355,21787.45662
2020/8/18 4:07:00,270.252,-15.233,21608.08691
2020/8/18 4:08:00,269.749,-15.111,21430.36028
2020/8/18 4:09:00,269.237,-14.991,21254.33169
2020/8/18 4:10:00,268.714,-14.872,21080.05733
2020/8/18 4:11:00,268.181,-14.755,20907.5946
2020/8/18 4:12:00,267.638,-14.639,20737.00205
2020/8/18 4:13:00,267.084,-14.524,20568.33945
2020/8/18 4:14:00,266.52,-14.411,20401.66771
2020/8/18 4:15:00,265.944,-14.3,20237.04893
2020/8/18 4:16:00,265.358,-14.19,20074.54641
2020/8/18 4:17:00,264.761,-14.081,19914.22449
2020/8/18 4:18:00,264.153,-13.974,19756.14856
2020/8/18 4:19:00,263.534,-13.869,19600.38549
2020/8/18 4:20:00,262.903,-13.766,19447.00276
2020/8/18 4:21:00,262.261,-13.664,19296.069
2020/8/18 4:22:00,261.607,-13.564,19147.65383
2020/8/18 4:23:00,260.942,-13.466,19001.82773
2020/8/18 4:24:00,260.266,-13.37,18858.66205
2020/8/18 4:25:00,259.578,-13.275,18718.2289
2020/8/18 4:26:00,258.878,-13.183,18580.60108
2020/8/18 4:27:00,258.166,-13.093,18445.85207
2020/8/18 4:28:00,257.443,-13.005,18314.05577
2020/8/18 4:29:00,256.708,-12.919,18185.28662
2020/8/18 4:30:00,255.962,-12.835,18059.61912
2020/8/18 4:31:00,255.204,-12.753,17937.1285
2020/8/18 4:32:00,254.435,-12.673,17817.88954
2020/8/18 4:33:00,253.654,-12.596,17701.9772
2020/8/18 4:34:00,252.862,-12.521,17589.46615
2020/8/18 4:35:00,252.058,-12.448,17480.43076
2020/8/18 4:36:00,251.244,-12.378,17374.94485
2020/8/18 4:37:00,250.419,-12.311,17273.0816
2020/8/18 4:38:00,249.583,-12.245,17174.91326
2020/8/18 4:39:00,248.736,-12.183,17080.511
2020/8/18 4:40:00,247.88,-12.123,16989.94515
2020/8/18 4:41:00,247.013,-12.065,16903.28414
2020/8/18 4:42:00,246.137,-12.011,16820.59503
2020/8/18 4:43:00,245.251,-11.958,16741.94299
2020/8/18 4:44:00,244.356,-11.909,16667.39121
2020/8/18 4:45:00,243.453,-11.863,16597.00067
2020/8/18 4:46:00,242.541,-11.819,16530.82991
2020/8/18 4:47:00,241.621,-11.778,16468.93473
2020/8/18 4:48:00,240.694,-11.74,16411.36854
2020/8/18 4:49:00,239.76,-11.705,16358.18121
2020/8/18 4:50:00,238.818,-11.673,16309.41972
2020/8/18 4:51:00,237.871,-11.643,16265.12757
2020/8/18 4:52:00,236.918,-11.617,16225.34469
2020/8/18 4:53:00,235.961,-11.594,16190.1074
2020/8/18 4:54:00,234.998,-11.574,16159.44795
2020/8/18 4:55:00,234.031,-11.556,16133.39502
2020/8/18 4:56:00,233.061,-11.542,16111.97275
2020/8/18 4:57:00,232.088,-11.531,16095.20125
2020/8/18 4:58:00,231.113,-11.523,16083.09637
2020/8/18 4:59:00,230.136,-11.518,16075.66945
2020/8/18 5:00:00,229.158,-11.516,16072.92758
2020/8/18 5:01:00,228.179,-11.517,16074.87315
2020/8/18 5:02:00,227.2,-11.522,16081.50452
2020/8/18 5:03:00,226.221,-11.529,16092.81524
2020/8/18 5:04:00,225.244,-11.539,16108.79455
2020/8/18 5:05:00,224.269,-11.553,16129.42728
2020/8/18 5:06:00,223.296,-11.569,16154.69401
2020/8/18 5:07:00,222.326,-11.589,16184.57103
2020/8/18 5:08:00,221.359,-11.611,16219.03047
2020/8/18 5:09:00,220.396,-11.637,16258.04068
2020/8/18 5:10:00,219.438,-11.665,16301.5659
2020/8/18 5:11:00,218.484,-11.697,16349.56667
2020/8/18 5:12:00,217.536,-11.731,16402.00004
2020/8/18 5:13:00,216.594,-11.769,16458.81955
2020/8/18 5:14:00,215.659,-11.809,16519.97562
2020/8/18 5:15:00,214.73,-11.852,16585.41545
2020/8/18 5:16:00,213.808,-11.898,16655.08371
2020/8/18 5:17:00,212.894,-11.946,16728.92212
2020/8/18 5:18:00,211.988,-11.998,16806.87006
2020/8/18 5:19:00,211.09,-12.052,16888.86466
2020/8/18 5:20:00,210.201,-12.109,16974.84099
2020/8/18 5:21:00,209.32,-12.168,17064.73228
2020/8/18 5:22:00,208.449,-12.23,17158.47015
2020/8/18 5:23:00,207.587,-12.295,17255.98466
2020/8/18 5:24:00,206.734,-12.362,17357.20483
2020/8/18 5:25:00,205.891,-12.431,17462.05843
2020/8/18 5:26:00,205.058,-12.503,17570.47243
