Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
2020/8/18 4:37:37,34.03,-24.662,44596.80304
2020/8/18 4:38:36,33.335,-21.983,44275.30477
2020/8/18 4:39:36,32.743,-19.23,43940.82836
2020/8/18 4:40:36,32.258,-16.432,43597.74091
2020/8/18 4:41:36,31.874,-13.593,43247.12836
2020/8/18 4:42:36,31.588,-10.713,42890.13355
2020/8/18 4:43:36,31.399,-7.797,42527.95517
2020/8/18 4:44:36,31.305,-4.844,42161.84665
2020/8/18 4:45:36,31.307,-1.858,41793.11449
2020/8/18 4:46:36,31.406,1.159,41423.11609
2020/8/18 4:47:36,31.605,4.206,41053.25708
2020/8/18 4:48:36,31.909,7.28,40684.98802
2020/8/18 4:49:36,32.324,10.377,40319.8004
2020/8/18 4:50:36,32.856,13.494,39959.22181
2020/8/18 4:51:36,33.517,16.627,39604.81037
2020/8/18 4:52:36,34.317,19.771,39258.14821
2020/8/18 4:53:36,35.273,22.92,38920.83391
2020/8/18 4:54:36,36.402,26.066,38594.47412
2020/8/18 4:55:36,37.725,29.201,38280.67394
2020/8/18 4:56:36,39.27,32.313,37981.02654
2020/8/18 4:57:36,41.069,35.39,37697.10161
2020/8/18 4:58:36,43.159,38.415,37430.43306
2020/8/18 4:59:36,45.584,41.368,37182.50586
2020/8/18 5:00:36,48.395,44.223,36954.74241
2020/8/18 5:01:36,51.649,46.952,36748.48834
2020/8/18 5:02:36,55.405,49.517,36564.99837
2020/8/18 5:03:36,59.723,51.873,36405.42217
2020/8/18 5:04:36,64.646,53.97,36270.79079
2020/8/18 5:05:36,70.194,55.75,36162.00383
2020/8/18 5:06:36,76.34,57.152,36079.81789
2020/8/18 5:07:36,82.991,58.12,36024.83633
2020/8/18 5:08:36,89.987,58.606,35997.50106
2020/8/18 5:09:36,97.106,58.586,35998.08615
2020/8/18 5:10:36,104.108,58.058,36026.69391
2020/8/18 5:11:36,110.774,57.046,36083.25318
2020/8/18 5:12:36,116.94,55.596,36167.52027
2020/8/18 5:13:36,122.518,53.763,36279.08197
2020/8/18 5:14:36,127.478,51.606,36417.3613
2020/8/18 5:15:36,131.841,49.184,36581.62483
2020/8/18 5:16:36,135.652,46.545,36770.99235
2020/8/18 5:17:36,138.97,43.735,36984.44768
2020/8/18 5:18:36,141.853,40.789,37220.85103
2020/8/18 5:19:36,144.36,37.738,37478.95192
2020/8/18 5:20:36,146.542,34.607,37757.40301
2020/8/18 5:21:36,148.443,31.415,38054.77376
2020/8/18 5:22:36,150.102,28.179,38369.56443
2020/8/18 5:23:36,151.55,24.912,38700.21936
2020/8/18 5:24:36,152.814,21.624,39045.14012
2020/8/18 5:25:36,153.918,18.325,39402.69757
2020/8/18 5:26:36,154.881,15.021,39771.24339
2020/8/18 5:27:36,155.716,11.718,40149.12067
2020/8/18 5:28:36,156.439,8.421,40534.67331
2020/8/18 5:29:36,157.059,5.134,40926.25474
2020/8/18 5:30:36,157.585,1.859,41322.23552
2020/8/18 5:31:36,158.024,-1.402,41721.0101
2020/8/18 5:32:36,158.381,-4.645,42121.00264
2020/8/18 5:33:36,158.661,-7.871,42520.67208
2020/8/18 5:34:36,158.866,-11.077,42918.51638
2020/8/18 5:35:36,158.998,-14.263,43313.07621
2020/8/18 5:36:36,159.059,-17.428,43702.93792
2020/8/18 5:37:36,159.046,-20.572,44086.73604
2020/8/18 5:38:36,158.958,-23.694,44463.1553
2020/8/18 5:38:57,158.91,-24.772,44591.85448
2020/8/18 6:20:12,12.105,-24.807,44581.75893
2020/8/18 6:21:12,11.701,-21.564,44192.54999
2020/8/18 6:22:12,11.349,-18.276,43792.18072
2020/8/18 6:23:12,11.047,-14.952,43383.30914
2020/8/18 6:24:12,10.789,-11.591,42967.30075
2020/8/18 6:25:12,10.573,-8.194,42545.58591
2020/8/18 6:26:12,10.396,-4.759,42119.6587
2020/8/18 6:27:12,10.257,-1.285,41691.07529
2020/8/18 6:28:12,10.154,2.229,41261.45154
2020/8/18 6:29:12,10.088,5.782,40832.4601
2020/8/18 6:30:12,10.059,9.377,40405.82657
2020/8/18 6:31:12,10.067,13.012,39983.32481
2020/8/18 6:32:12,10.116,16.69,39566.77123
2020/8/18 6:33:12,10.207,20.409,39158.0179
2020/8/18 6:34:12,10.344,24.171,38758.94445
2020/8/18 6:35:12,10.535,27.974,38371.44863
2020/8/18 6:36:12,10.786,31.817,37997.4355
2020/8/18 6:37:12,11.107,35.701,37638.8051
2020/8/18 6:38:12,11.513,39.622,37297.43889
2020/8/18 6:39:12,12.024,43.579,36975.18457
2020/8/18 6:40:12,12.666,47.568,36673.83992
2020/8/18 6:41:12,13.48,51.587,36395.13538
2020/8/18 6:42:12,14.524,55.628,36140.71594
2020/8/18 6:43:12,15.888,59.684,35912.12254
2020/8/18 6:44:12,17.718,63.744,35710.77342
2020/8/18 6:45:12,20.266,67.79,35537.94583
2020/8/18 6:46:12,23.997,71.79,35394.7587
2020/8/18 6:47:12,29.856,75.683,35282.15669
2020/8/18 6:48:12,39.967,79.325,35200.89617
2020/8/18 6:49:12,59.171,82.321,35151.53372
2020/8/18 6:50:12,92.868,83.655,35134.41737
2020/8/18 6:51:12,126.912,82.388,35149.68111
2020/8/18 6:52:12,146.497,79.419,35197.24267
2020/8/18 6:53:12,156.805,75.783,35276.80494
2020/8/18 6:54:12,162.779,71.889,35387.86062
2020/8/18 6:55:12,166.594,67.883,35529.70025
2020/8/18 6:56:12,169.218,63.828,35701.42309
2020/8/18 6:57:12,171.123,59.758,35901.95052
2020/8/18 6:58:12,172.567,55.688,36130.04158
2020/8/18 6:59:12,173.698,51.633,36384.30988
2020/8/18 7:00:12,174.608,47.598,36663.24172
2020/8/18 7:01:12,175.357,43.59,36965.21453
2020/8/18 7:02:12,175.985,39.613,37288.51553
2020/8/18 7:03:12,176.52,35.67,37631.35981
2020/8/18 7:04:12,176.984,31.763,37991.90787
2020/8/18 7:05:12,177.391,27.894,38368.28198
2020/8/18 7:06:12,177.753,24.064,38758.58153
2020/8/18 7:07:12,178.079,20.274,39160.89687
2020/8/18 7:08:12,178.375,16.524,39573.32184
2020/8/18 7:09:12,178.649,12.813,39993.96489
2020/8/18 7:10:12,178.904,9.142,40420.95872
2020/8/18 7:11:12,179.144,5.51,40852.46865
2020/8/18 7:12:12,179.373,1.917,41286.69974
2020/8/18 7:13:12,179.594,-1.64,41721.90271
2020/8/18 7:14:12,179.81,-5.16,42156.37887
2020/8/18 7:15:12,180.023,-8.644,42588.48408
2020/8/18 7:16:12,180.236,-12.094,43016.63189
2020/8/18 7:17:12,180.451,-15.512,43439.29604
2020/8/18 7:18:12,180.67,-18.898,43855.01223
2020/8/18 7:19:12,180.897,-22.253,44262.37951
2020/8/18 7:19:59,181.082,-24.856,44574.05991
2020/8/18 8:01:24,349.769,-24.881,44566.84883
2020/8/18 8:02:24,349.715,-21.614,44174.86927
2020/8/18 8:03:24,349.623,-18.297,43771.22069
2020/8/18 8:04:24,349.495,-14.954,43360.1822
2020/8/18 8:05:24,349.328,-11.585,42943.17004
2020/8/18 8:06:24,349.122,-8.189,42521.65843
2020/8/18 8:07:24,348.875,-4.764,42097.17757
2020/8/18 8:08:24,348.583,-1.312,41671.31116
2020/8/18 8:09:24,348.243,2.169,41245.69332
2020/8/18 8:10:24,347.849,5.678,40822.0047
2020/8/18 8:11:24,347.397,9.215,40401.96781
2020/8/18 8:12:24,346.879,12.779,39987.34142
2020/8/18 8:13:24,346.285,16.369,39579.91397
2020/8/18 8:14:24,345.604,19.983,39181.49583
2020/8/18 8:15:24,344.823,23.619,38793.91048
2020/8/18 8:16:24,343.924,27.273,38418.98434
2020/8/18 8:17:24,342.885,30.941,38058.53555
2020/8/18 8:18:24,341.678,34.617,37714.36137
2020/8/18 8:19:24,340.268,38.294,37388.22438
2020/8/18 8:20:24,338.61,41.96,37081.83784
2020/8/18 8:21:24,336.642,45.604,36796.84989
2020/8/18 8:22:24,334.287,49.207,36534.82733
2020/8/18 8:23:24,331.439,52.745,36297.23871
2020/8/18 8:24:24,327.958,56.186,36085.43776
2020/8/18 8:25:24,323.66,59.482,35900.64683
2020/8/18 8:26:24,318.31,62.57,35743.94138
2020/8/18 8:27:24,311.628,65.358,35616.23547
2020/8/18 8:28:24,303.344,67.722,35518.26921
2020/8/18 8:29:24,293.326,69.507,35450.59805
2020/8/18 8:30:24,281.811,70.547,35413.58473
2020/8/18 8:31:24,269.559,70.718,35407.3939
2020/8/18 8:32:24,257.669,70,35431.98979
2020/8/18 8:33:24,247.071,68.485,35487.13691
2020/8/18 8:34:24,238.184,66.335,35572.40373
2020/8/18 8:35:24,230.983,63.713,35687.16948
2020/8/18 8:36:24,225.226,60.756,35830.63333
2020/8/18 8:37:24,220.627,57.567,36001.82623
2020/8/18 8:38:24,216.934,54.219,36199.62446
2020/8/18 8:39:24,213.944,50.765,36422.76485
2020/8/18 8:40:24,211.504,47.241,36669.86102
2020/8/18 8:41:24,209.496,43.674,36939.4202
2020/8/18 8:42:24,207.834,40.085,37229.86034
2020/8/18 8:43:24,206.452,36.487,37539.52687
2020/8/18 8:44:24,205.301,32.893,37866.70913
2020/8/18 8:45:24,204.341,29.31,38209.65582
2020/8/18 8:46:24,203.545,25.745,38566.58962
2020/8/18 8:47:24,202.888,22.203,38935.72056
2020/8/18 8:48:24,202.353,18.688,39315.25814
2020/8/18 8:49:24,201.926,15.203,39703.42232
2020/8/18 8:50:24,201.596,11.75,40098.45304
2020/8/18 8:51:24,201.356,8.331,40498.61866
2020/8/18 8:52:24,201.197,4.947,40902.22316
2020/8/18 8:53:24,201.117,1.599,41307.61224
2020/8/18 8:54:24,201.112,-1.712,41713.17841
2020/8/18 8:55:24,201.18,-4.986,42117.3652
2020/8/18 8:56:24,201.321,-8.222,42518.67055
2020/8/18 8:57:24,201.535,-11.42,42915.64946
2020/8/18 8:58:24,201.825,-14.579,43306.91606
2020/8/18 8:59:24,202.193,-17.7,43691.14513
2020/8/18 9:00:24,202.643,-20.78,44067.07315
2020/8/18 9:01:24,203.182,-23.82,44433.49903
2020/8/18 9:01:47,203.413,-24.973,44570.98173
2020/8/18 9:42:27,327.967,-24.899,44557.75305
2020/8/18 9:43:27,328.251,-22.092,44221.45131
2020/8/18 9:44:27,328.434,-19.245,43876.12745
2020/8/18 9:45:27,328.517,-16.38,43525.06114
2020/8/18 9:46:27,328.502,-13.499,43169.47594
2020/8/18 9:47:27,328.392,-10.603,42810.63348
2020/8/18 9:48:27,328.186,-7.696,42449.83079
2020/8/18 9:49:27,327.883,-4.779,42088.39738
2020/8/18 9:50:27,327.481,-1.856,41727.69155
2020/8/18 9:51:27,326.978,1.07,41369.09643
2020/8/18 9:52:27,326.367,3.995,41014.01542
2020/8/18 9:53:27,325.643,6.915,40663.86694
2020/8/18 9:54:27,324.799,9.824,40320.07872
2020/8/18 9:55:27,323.827,12.718,39984.08128
2020/8/18 9:56:27,322.716,15.589,39657.30093
2020/8/18 9:57:27,321.454,18.428,39341.1519
2020/8/18 9:58:27,320.029,21.228,39037.02817
2020/8/18 9:59:27,318.425,23.977,38746.29442
2020/8/18 10:00:27,316.626,26.664,38470.27654
2020/8/18 10:01:27,314.613,29.273,38210.25195
2020/8/18 10:02:27,312.369,31.789,37967.43924
2020/8/18 10:03:27,309.875,34.194,37742.98803
2020/8/18 10:04:27,307.113,36.465,37537.9685
